medical_term,departments,symptoms,related_conditions
Chest Pain,"Cardiologist, Pulmonologist","Tightness, Pressure, Radiating pain","Heart Attack, GERD"
Acid Reflux,"Gastroenterologist, Dietician","Heartburn, Regurgitation, Chest pain","GERD, Peptic Ulcer"
Diabetes,"Endocrinologist, Diabetologist, General Physician","Increased thirst, Frequent urination, Fatigue","Prediabetes, Metabolic Syndrome"
Asthma,"Pulmonologist, Allergist","Wheezing, Shortness of breath, Cough","Bronchitis, COPD"
Anemia,"Hematologist, General Physician","Fatigue, Pale skin, Dizziness","Iron Deficiency, B12 Deficiency"
Knee Pain,"Orthopedic, Physiotherapist, Rheumatologist","Swelling, Stiffness, Pain","Osteoarthritis, Meniscus Tear"
Shortness of Breath,"Pulmonologist, Cardiologist, Chest Physician","Difficulty breathing, Chest pain","Asthma, Heart Failure"
Migraine,"Neurologist, Pain Management Physician","Severe headache, Sensitivity to light, Nausea","Tension Headache, Cluster Headache"
High Blood Pressure,"Cardiologist, Internal Medicine Specialist","Headaches, Dizziness, Blurred vision","Hypertension, Kidney Disease"
Ear Infection,"ENT Specialist (Otolaryngologist), Pediatrician","Ear pain, Fever, Hearing loss","Swimmer's Ear, Sinus Infection"
Allergy,Allergist,"Sneezing, Itchy eyes, Runny nose","Hay Fever, Asthma"
Infertility,"Andrologist, Gynecologist, Endocrinologist","Inability to conceive, Hormonal imbalance","Polycystic Ovary Syndrome, Low Sperm Count"
Hearing Loss,Audiologist,"Decreased hearing, Ringing in ears, Muffled sound","Otitis Media, Presbycusis"
Coronary Artery Disease,"Cardiac Surgeon, Cardiologist","Chest pain, Shortness of breath, Fatigue","Myocardial Infarction, Angina"
Aortic Dissection,"Cardiothoracic Surgeon, Cardiologist","Sudden severe chest pain, Back pain, Difficulty breathing","Aortic Rupture, Hypertension"
Pulmonary Embolism,"Chest Physician, Pulmonologist, Cardiologist","Chest pain, Shortness of breath, Rapid heart rate","Deep Vein Thrombosis (DVT), Stroke"
Chronic Pain,Chronic Pain Physician,"Persistent pain, Tenderness, Stiffness","Fibromyalgia, Neuropathy"
Cavities,Dentist,"Toothache, Sensitivity to hot or cold, Swelling of gums","Gingivitis, Periodontitis"
Acne,Dermatologist,"Pimples, Blackheads, Cysts","Rosacea, Hormonal Imbalance"
Developmental Delays,Developmental-Behavioral Pediatrician,"Speech delay, Learning difficulties, Social challenges","Autism Spectrum Disorder, ADHD"
Gestational Diabetes,"Diabetologist, Gynecologist","Increased thirst, Frequent urination, Fatigue","Type 2 Diabetes, Hypertension"
Food Allergies,"Dietician, Allergist","Swelling, Hives, Difficulty breathing, Nausea","Anaphylaxis, Eosinophilic Esophagitis"
Trauma,"Emergency Department Physician, General Surgeon","Bleeding, Swelling, Bruising","Fracture, Dislocation"
Stroke,"Neurologist, Emergency Medicine Doctor","Sudden numbness, Slurred speech, Vision problems","TIA (Transient Ischemic Attack), Aneurysm"
Thyroid Disorders,Endocrinologist,"Weight gain/loss, Fatigue, Dry skin, Hair loss","Hypothyroidism, Hyperthyroidism"
Sinusitis,ENT Specialist (Otolaryngologist),"Nasal congestion, Facial pain, Headache","Common Cold, Allergic Rhinitis"
Liver Disease,Hepatologist,"Yellowing of skin (Jaundice), Fatigue, Abdominal pain","Cirrhosis, Hepatitis"
Infections,Infectious Disease Specialist,"Fever, Chills, Pain, Swelling","Tuberculosis, HIV, Malaria"
Autoimmune Disorders,Immunologist,"Joint pain, Fatigue, Skin rashes","Lupus, Rheumatoid Arthritis"
Diabetic Retinopathy,Ophthalmologist,"Blurred vision, Floaters, Impaired night vision","Diabetes, Hypertension"
Parkinson's Disease,Neurologist,"Tremors, Muscle rigidity, Difficulty walking","Essential Tremor, Alzheimer's Disease"
Brain Tumor,"Neuro Surgeon, Neurologist","Headache, Nausea, Seizures","Meningioma, Glioma"
Hypertension,"General Medicine Specialist, Cardiologist","Headaches, Dizziness, Chest pain","Heart Disease, Kidney Disease"
Osteoarthritis,"Orthopedic, Rheumatologist","Joint pain, Stiffness, Swelling","Rheumatoid Arthritis, Gout"
Spinal Disorders,"Orthopedician, Physiotherapist, Neurosurgeon","Back pain, Numbness, Weakness","Herniated Disc, Spinal Stenosis"
Urinary Incontinence,"Urologist, Urogynecologist","Urge to urinate, Leakage, Frequent urination","Prostate Enlargement, Pelvic Organ Prolapse"
Cancer,"Oncologist, Surgical Oncologist","Unexplained weight loss, Fatigue, Pain","Breast Cancer, Lung Cancer, Colon Cancer"
Sleep Apnea,"Sleep Specialist, Pulmonologist","Loud snoring, Pauses in breathing, Daytime fatigue","Obesity, Hypertension"
Chronic Sinusitis,Otolaryngologist,"Nasal congestion, Headache, Post-nasal drip","Allergic Rhinitis, Common Cold"
Chronic Fatigue Syndrome,"Rheumatologist, Neurologist","Severe fatigue, Muscle pain, Memory problems","Fibromyalgia, Sleep Disorders"
Gastroesophageal Reflux Disease (GERD),Gastroenterologist,"Heartburn, Regurgitation, Chest pain, Stomach Pain","Hiatal Hernia, Peptic Ulcer"
Sleep Disorders,Sleep Doctor,"Insomnia, Snoring, Excessive sleepiness","Sleep Apnea, Restless Leg Syndrome"
Urethral Stricture,Urologist,"Difficulty urinating, Painful urination, Urinary retention","Urinary Tract Infection, Bladder Stones"
Varicose Veins,Vascular Surgeon,"Swollen, bulging veins, Pain in the legs","Deep Vein Thrombosis, Phlebitis"
Andropause,Andrologist,"Decreased libido, Fatigue, Irritability","Hypogonadism, Low Testosterone"
Chronic Pain,Chronic Pain Physician,"Persistent pain, Tenderness, Stiffness","Fibromyalgia, Neuropathy"
Prostate Cancer,Genitourinary (GU) Medical Oncologist,"Painful urination, Blood in urine, Frequent urination","Benign Prostatic Hyperplasia, Bladder Cancer"
Anemia,Hemato-Oncologist,"Fatigue, Pale skin, Dizziness","Iron Deficiency, B12 Deficiency"
Autoimmune Diseases,Immunologist,"Joint pain, Fatigue, Skin rashes","Lupus, Rheumatoid Arthritis"
Chronic Fatigue Syndrome,Integrative Medicine Specialist,"Extreme tiredness, Muscle pain, Cognitive dysfunction","Fibromyalgia, Sleep Disorders"
Brain Tumors,"Neuro-Psychologist, Neurologist","Headaches, Seizures, Nausea","Glioma, Meningioma"
Vision Problems,Optometrist,"Blurry vision, Eye strain, Sensitivity to light","Glaucoma, Cataracts"
Congenital Heart Disease,Pediatric Cardiologist,"Difficulty breathing, Cyanosis, Fatigue","Tetralogy of Fallot, Atrial Septal Defect"
Urinary Tract Infections,Pediatric Urologist,"Painful urination, Blood in urine, Frequent urination","Bladder Infection, Kidney Infection"
Preterm Birth,Perinatologist,"Premature contractions, Abnormal amniotic fluid, Pain","Preterm Labor, Placenta Previa"
Flatfoot,Podiatrist (Foot Specialist),"Pain in the feet, Swelling, Foot deformities","Bunions, Plantar Fasciitis"
Routine Checkup,Primary Care Physician,No symptoms (for preventive care),"Hypertension, Diabetes"
Mood Disorders,Psychiatrist,"Depressed mood, Anxiety, Suicidal thoughts","Depression, Bipolar Disorder"
Mental Health Therapy,Psychologist,"Emotional distress, Anxiety, Behavioral issues","PTSD, Anxiety Disorder"
Radiation Therapy,Radiation Oncologist,"Skin irritation, Fatigue, Nausea",Cancer (Multiple Types)
Sleep Apnea,Sleep Doctor,"Snoring, Gasping during sleep, Excessive daytime sleepiness","Obesity, Hypertension"
Lung Cancer,Surgical Oncologist,"Persistent cough, Shortness of breath, Weight loss",Chronic Obstructive Pulmonary Disease (COPD)
Lead Poisoning,Toxicologist,"Abdominal pain, Fatigue, Constipation","Mercury Poisoning, Pesticide Exposure"
Hair Loss,Trichologist,"Thinning hair, Bald patches, Hair shedding","Alopecia, Male Pattern Baldness"
Bladder Cancer,Urologic Oncologist,"Blood in urine, Painful urination, Pelvic pain","Prostate Cancer, UTI"
Urinary Incontinence,Urogynecologist,"Leakage, Urgency to urinate, Pelvic discomfort","Pelvic Organ Prolapse, Bladder Cancer"
Allergic Rhinitis,Allergist,"Sneezing, Runny nose, Itchy eyes","Asthma, Sinusitis"
Infertility,Andrologist,"Difficulty conceiving, Low sperm count, Erectile dysfunction","Low testosterone, Varicocele"
Hearing Loss,Audiologist,"Reduced hearing, Ringing in the ears, Muffled sounds","Ear infection, Age-related hearing loss"
Coronary Artery Disease,Cardiac Surgeon,"Chest pain, Shortness of breath, Fatigue","Heart Attack, Atherosclerosis"
Heart Disease,Cardiologist,"Chest pain, Fatigue, Palpitations","Hypertension, Coronary artery disease"
Lung Surgery,Cardiothoracic Surgeon,"Chest pain, Difficulty breathing, Fatigue","Lung Cancer, Pulmonary Embolism"
Pneumonia,Chest Physician,"Cough, Fever, Shortness of breath","Bronchitis, Tuberculosis"
Pain Management,Chronic Pain Physician,"Persistent pain, Reduced movement, Fatigue","Fibromyalgia, Arthritis"
Dental Health,Dentist,"Tooth pain, Swelling, Gum bleeding","Tooth decay, Gingivitis"
