medical_term,departments,symptoms,related_conditions
Chest Pain,"Cardiologist, Pulmonologist","Tightness, Pressure, Radiating pain","Heart Attack, GERD"
Acid Reflux,"Gastroenterologist, Dietician","Heartburn, Regurgitation, Chest pain","GERD, Peptic Ulcer"
Diabetes,"Endocrinologist, Diabetologist, General Physician","Increased thirst, Frequent urination, Fatigue","Prediabetes, Metabolic Syndrome"
Asthma,"Pulmonologist, Allergist","Wheezing, Shortness of breath, Cough","Bronchitis, COPD"
Asthma,"Pulmonologist, Allergist","Wheezing, Shortness of breath, Cough","Bronchitis, COPD"
Asthma,"Pulmonologist, Allergist","Wheezing, Shortness of breath, Cough","Bronchitis, COPD"
Anemia,"Hematologist, General Physician","Fatigue, Pale skin, Dizziness","Iron Deficiency, B12 Deficiency"
Chest Pain,"Cardiologist, Pulmonologist","Tightness, Pressure, Radiating pain","Heart Attack, GERD"
Anemia,"Hematologist, General Physician","Fatigue, Pale skin, Dizziness","Iron Deficiency, B12 Deficiency"
Anemia,"Hematologist, General Physician","Fatigue, Pale skin, Dizziness","Iron Deficiency, B12 Deficiency"
Asthma,"Pulmonologist, Allergist","Wheezing, Shortness of breath, Cough","Bronchitis, COPD"
Asthma,"Pulmonologist, Allergist","Wheezing, Shortness of breath, Cough","Bronchitis, COPD"
Acid Reflux,"Gastroenterologist, Dietician","Heartburn, Regurgitation, Chest pain","GERD, Peptic Ulcer"
Knee Pain,"Orthopedic, Physiotherapist, Rheumatologist","Swelling, Stiffness, Pain","Osteoarthritis, Meniscus Tear"
Knee Pain,"Orthopedic, Physiotherapist, Rheumatologist","Swelling, Stiffness, Pain","Osteoarthritis, Meniscus Tear"
Anemia,"Hematologist, General Physician","Fatigue, Pale skin, Dizziness","Iron Deficiency, B12 Deficiency"
Acid Reflux,"Gastroenterologist, Dietician","Heartburn, Regurgitation, Chest pain","GERD, Peptic Ulcer"
Knee Pain,"Orthopedic, Physiotherapist, Rheumatologist","Swelling, Stiffness, Pain","Osteoarthritis, Meniscus Tear"
Acid Reflux,"Gastroenterologist, Dietician","Heartburn, Regurgitation, Chest pain","GERD, Peptic Ulcer"
Shortness of Breath,"Pulmonologist, Cardiologist, Chest Physician","Difficulty breathing, Chest pain","Asthma, Heart Failure"
Shortness of Breath,"Pulmonologist, Cardiologist, Chest Physician","Difficulty breathing, Chest pain","Asthma, Heart Failure"
Asthma,"Pulmonologist, Allergist","Wheezing, Shortness of breath, Cough","Bronchitis, COPD"
Acid Reflux,"Gastroenterologist, Dietician","Heartburn, Regurgitation, Chest pain","GERD, Peptic Ulcer"
Chest Pain,"Cardiologist, Pulmonologist","Tightness, Pressure, Radiating pain","Heart Attack, GERD"
Migraine,"Neurologist, Pain Management Physician","Severe headache, Sensitivity to light, Nausea","Tension Headache, Cluster Headache"
Shortness of Breath,"Pulmonologist, Cardiologist, Chest Physician","Difficulty breathing, Chest pain","Asthma, Heart Failure"
High Blood Pressure,"Cardiologist, Internal Medicine Specialist","Headaches, Dizziness, Blurred vision","Hypertension, Kidney Disease"
Ear Infection,"ENT Specialist (Otolaryngologist), Pediatrician","Ear pain, Fever, Hearing loss","Swimmer's Ear, Sinus Infection"
Anemia,"Hematologist, General Physician","Fatigue, Pale skin, Dizziness","Iron Deficiency, B12 Deficiency"
Diabetes,"Endocrinologist, Diabetologist, General Physician","Increased thirst, Frequent urination, Fatigue","Prediabetes, Metabolic Syndrome"
Asthma,"Pulmonologist, Allergist","Wheezing, Shortness of breath, Cough","Bronchitis, COPD"
Knee Pain,"Orthopedic, Physiotherapist, Rheumatologist","Swelling, Stiffness, Pain","Osteoarthritis, Meniscus Tear"
Asthma,"Pulmonologist, Allergist","Wheezing, Shortness of breath, Cough","Bronchitis, COPD"
Migraine,"Neurologist, Pain Management Physician","Severe headache, Sensitivity to light, Nausea","Tension Headache, Cluster Headache"
Ear Infection,"ENT Specialist (Otolaryngologist), Pediatrician","Ear pain, Fever, Hearing loss","Swimmer's Ear, Sinus Infection"
Knee Pain,"Orthopedic, Physiotherapist, Rheumatologist","Swelling, Stiffness, Pain","Osteoarthritis, Meniscus Tear"
High Blood Pressure,"Cardiologist, Internal Medicine Specialist","Headaches, Dizziness, Blurred vision","Hypertension, Kidney Disease"
Knee Pain,"Orthopedic, Physiotherapist, Rheumatologist","Swelling, Stiffness, Pain","Osteoarthritis, Meniscus Tear"
Migraine,"Neurologist, Pain Management Physician","Severe headache, Sensitivity to light, Nausea","Tension Headache, Cluster Headache"
High Blood Pressure,"Cardiologist, Internal Medicine Specialist","Headaches, Dizziness, Blurred vision","Hypertension, Kidney Disease"
Migraine,"Neurologist, Pain Management Physician","Severe headache, Sensitivity to light, Nausea","Tension Headache, Cluster Headache"
Shortness of Breath,"Pulmonologist, Cardiologist, Chest Physician","Difficulty breathing, Chest pain","Asthma, Heart Failure"
High Blood Pressure,"Cardiologist, Internal Medicine Specialist","Headaches, Dizziness, Blurred vision","Hypertension, Kidney Disease"
Ear Infection,"ENT Specialist (Otolaryngologist), Pediatrician","Ear pain, Fever, Hearing loss","Swimmer's Ear, Sinus Infection"
Chest Pain,"Cardiologist, Pulmonologist","Tightness, Pressure, Radiating pain","Heart Attack, GERD"
Shortness of Breath,"Pulmonologist, Cardiologist, Chest Physician","Difficulty breathing, Chest pain","Asthma, Heart Failure"
Migraine,"Neurologist, Pain Management Physician","Severe headache, Sensitivity to light, Nausea","Tension Headache, Cluster Headache"
Shortness of Breath,"Pulmonologist, Cardiologist, Chest Physician","Difficulty breathing, Chest pain","Asthma, Heart Failure"
Shortness of Breath,"Pulmonologist, Cardiologist, Chest Physician","Difficulty breathing, Chest pain","Asthma, Heart Failure"
Ear Infection,"ENT Specialist (Otolaryngologist), Pediatrician","Ear pain, Fever, Hearing loss","Swimmer's Ear, Sinus Infection"
Asthma,"Pulmonologist, Allergist","Wheezing, Shortness of breath, Cough","Bronchitis, COPD"
Anemia,"Hematologist, General Physician","Fatigue, Pale skin, Dizziness","Iron Deficiency, B12 Deficiency"
Knee Pain,"Orthopedic, Physiotherapist, Rheumatologist","Swelling, Stiffness, Pain","Osteoarthritis, Meniscus Tear"
Migraine,"Neurologist, Pain Management Physician","Severe headache, Sensitivity to light, Nausea","Tension Headache, Cluster Headache"
Chest Pain,"Cardiologist, Pulmonologist","Tightness, Pressure, Radiating pain","Heart Attack, GERD"
Shortness of Breath,"Pulmonologist, Cardiologist, Chest Physician","Difficulty breathing, Chest pain","Asthma, Heart Failure"
Shortness of Breath,"Pulmonologist, Cardiologist, Chest Physician","Difficulty breathing, Chest pain","Asthma, Heart Failure"
Chest Pain,"Cardiologist, Pulmonologist","Tightness, Pressure, Radiating pain","Heart Attack, GERD"
Migraine,"Neurologist, Pain Management Physician","Severe headache, Sensitivity to light, Nausea","Tension Headache, Cluster Headache"
Acid Reflux,"Gastroenterologist, Dietician","Heartburn, Regurgitation, Chest pain","GERD, Peptic Ulcer"
Anemia,"Hematologist, General Physician","Fatigue, Pale skin, Dizziness","Iron Deficiency, B12 Deficiency"
Chest Pain,"Cardiologist, Pulmonologist","Tightness, Pressure, Radiating pain","Heart Attack, GERD"
Chest Pain,"Cardiologist, Pulmonologist","Tightness, Pressure, Radiating pain","Heart Attack, GERD"
Asthma,"Pulmonologist, Allergist","Wheezing, Shortness of breath, Cough","Bronchitis, COPD"
Chest Pain,"Cardiologist, Pulmonologist","Tightness, Pressure, Radiating pain","Heart Attack, GERD"
Anemia,"Hematologist, General Physician","Fatigue, Pale skin, Dizziness","Iron Deficiency, B12 Deficiency"
Chest Pain,"Cardiologist, Pulmonologist","Tightness, Pressure, Radiating pain","Heart Attack, GERD"
Knee Pain,"Orthopedic, Physiotherapist, Rheumatologist","Swelling, Stiffness, Pain","Osteoarthritis, Meniscus Tear"
Shortness of Breath,"Pulmonologist, Cardiologist, Chest Physician","Difficulty breathing, Chest pain","Asthma, Heart Failure"
Acid Reflux,"Gastroenterologist, Dietician","Heartburn, Regurgitation, Chest pain","GERD, Peptic Ulcer"
Asthma,"Pulmonologist, Allergist","Wheezing, Shortness of breath, Cough","Bronchitis, COPD"
Diabetes,"Endocrinologist, Diabetologist, General Physician","Increased thirst, Frequent urination, Fatigue","Prediabetes, Metabolic Syndrome"
Ear Infection,"ENT Specialist (Otolaryngologist), Pediatrician","Ear pain, Fever, Hearing loss","Swimmer's Ear, Sinus Infection"
Knee Pain,"Orthopedic, Physiotherapist, Rheumatologist","Swelling, Stiffness, Pain","Osteoarthritis, Meniscus Tear"
Migraine,"Neurologist, Pain Management Physician","Severe headache, Sensitivity to light, Nausea","Tension Headache, Cluster Headache"
Anemia,"Hematologist, General Physician","Fatigue, Pale skin, Dizziness","Iron Deficiency, B12 Deficiency"
Migraine,"Neurologist, Pain Management Physician","Severe headache, Sensitivity to light, Nausea","Tension Headache, Cluster Headache"
